,player_id,hand,dob,ioc,rank,points,wins,losses,total,name
564,200711,R,20000211,COL,292,175,0.0,6.0,6.0,Nicolas Mejia
565,201995,U,20000703,ECU,689,32,1.0,1.0,2.0,Cayetano March
566,202058,R,20010410,ARG,201,303,0.0,1.0,1.0,Thiago Agustin Tirante
567,202065,U,20000727,GRE,754,25,3.0,3.0,6.0,Petros Tsitsipas
568,202090,R,20010512,BUL,400,107,2.0,7.0,9.0,Adrian Andreev
569,202103,R,19980813,ARG,44,1051,16.0,18.0,34.0,Francisco Cerundolo
570,202104,R,20001228,ARG,36,1203,22.0,18.0,40.0,Sebastian Baez
571,202120,R,19940123,JAM,1224,5,1.0,2.0,3.0,Rowland Phillips
572,202122,L,19990609,JPN,488,72,1.0,0.0,1.0,Yuta Shimizu
573,202130,R,19970420,USA,723,28,0.0,1.0,1.0,Emil Reinberg
574,202195,R,19970508,USA,67,909,17.0,19.0,36.0,Maxime Cressy
575,202197,U,20010625,ESP,363,121,0.0,1.0,1.0,Carlos Gimeno Valero
576,202261,R,20010621,FIN,306,166,2.0,3.0,5.0,Otto Virtanen
577,202262,U,20010918,ROU,311,161,1.0,1.0,2.0,Filip Cristian Jianu
578,202358,R,20010808,TPE,104,604,3.0,5.0,8.0,Chun Hsin Tseng
579,202359,U,19990118,GER,385,112,0.0,1.0,1.0,Marvin Moeller
580,202378,U,19990712,ARG,633,39,0.0,1.0,1.0,Ignacio Carou
581,202385,R,20001026,USA,34,1217,27.0,17.0,44.0,Jenson Brooksby
582,202398,R,19991226,CZE,493,72,0.0,1.0,1.0,Michael Vrbensky
583,202400,R,19980622,GBR,289,178,0.0,2.0,2.0,Alastair Gray
584,202475,R,20001110,RSA,1373,3,2.0,0.0,2.0,Philip Henning
585,205734,R,20000310,BRA,264,208,9.0,15.0,24.0,Thiago Seyboth Wild
586,206173,R,20010816,ITA,12,3355,108.0,51.0,159.0,Jannik Sinner
587,206589,U,19990711,ROU,697,30,0.0,1.0,1.0,Gabi Adrian Boitan
588,206600,R,20000604,GEO,1128,7,0.0,1.0,1.0,Zura Tkemaladze
589,206642,R,20000810,MAR,1643,2,0.0,1.0,1.0,Yassir Kilani
590,206681,R,19991008,HUN,329,152,0.0,1.0,1.0,Fabian Marozsan
591,206703,R,19991031,GBR,231,246,0.0,2.0,2.0,Paul Jubb
592,206716,U,20001115,NOR,1241,5,1.0,0.0,1.0,Lukas Hellum Lilleengen
593,206748,L,20011207,ITA,202,302,0.0,4.0,4.0,Giulio Zeppieri
594,206750,U,20000512,EST,977,12,1.0,1.0,2.0,Daniil Glinka
595,206909,R,20010803,USA,64,932,29.0,25.0,54.0,Brandon Nakashima
596,207139,R,19991205,THA,1491,3,2.0,2.0,4.0,Palaphoom Kovapitukted
597,207182,R,20011202,USA,243,230,0.0,4.0,4.0,Emilio Nava
598,207213,R,20010205,CRO,234,241,1.0,1.0,2.0,Duje Ajdukovic
599,207249,R,20000316,GRE,1503,3,1.0,0.0,1.0,Alexandros Skorilas
600,207277,,20010507,UKR,694,31,0.0,1.0,1.0,Illia Biloborodko
601,207401,R,20000328,KEN,1926,1,0.0,1.0,1.0,Sheil Kotecha
602,207415,U,20000111,POL,282,187,1.0,0.0,1.0,Daniel Michalski
603,207457,R,20010527,POL,1118,7,0.0,1.0,1.0,Wojciech Marek
604,207518,R,20020303,ITA,57,972,39.0,37.0,76.0,Lorenzo Musetti
605,207608,R,20010121,RUS,207,289,1.0,3.0,4.0,Timofey Skatov
606,207669,U,19990915,GER,744,26,1.0,1.0,2.0,Robert Strombachs
607,207678,L,20011115,ARG,120,522,9.0,11.0,20.0,Juan Manuel Cerundolo
608,207680,L,20001215,ARG,246,226,0.0,2.0,2.0,Facundo Diaz Acosta
609,207733,L,20011222,GBR,106,585,4.0,5.0,9.0,Jack Draper
610,207738,L,20000114,VEN,2133,1,0.0,3.0,3.0,Brandon Perez
611,207797,R,20010310,CZE,235,240,3.0,1.0,4.0,Jonas Forejtek
612,207799,U,20010401,BRA,221,264,2.0,1.0,3.0,Matheus Pucinelli De Almeida
613,207826,R,19991207,EST,1560,2,0.0,1.0,1.0,Siim Troost
614,207830,R,20001013,CZE,147,436,7.0,8.0,15.0,Tomas Machac
615,207834,R,19990623,MEX,539,59,0.0,1.0,1.0,Juan Alejandro Hernandez Serrano
616,207925,U,20020506,ITA,157,399,1.0,2.0,3.0,Flavio Cobolli
617,207972,,20011022,KOR,1926,1,0.0,1.0,1.0,Minjong Park
618,207973,,20030726,LTU,2061,1,0.0,1.0,1.0,Ainius Sabaliauskas
